STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_ASPD_EMPLOYMENT,Employment (thousands),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_ASPD_TOTAL,Sector: Total,_Z,Not Applicable,_Z,Not Applicable,2002,5471.14013671875,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_ASPD_EMPLOYMENT,Employment (thousands),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_ASPD_1,Sector: Agriculture,_Z,Not Applicable,_Z,Not Applicable,2002,2022.175,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_ASPD_EMPLOYMENT,Employment (thousands),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_ASPD_2,Sector: Mining,_Z,Not Applicable,_Z,Not Applicable,2002,60.773,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_ASPD_EMPLOYMENT,Employment (thousands),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_ASPD_3,Sector: Manufacturing,_Z,Not Applicable,_Z,Not Applicable,2002,168.209,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_ASPD_EMPLOYMENT,Employment (thousands),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_ASPD_4,Sector: Utilities,_Z,Not Applicable,_Z,Not Applicable,2002,17.595,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_ASPD_EMPLOYMENT,Employment (thousands),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_ASPD_5,Sector: Construction,_Z,Not Applicable,_Z,Not Applicable,2002,250.817,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_ASPD_EMPLOYMENT,Employment (thousands),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_ASPD_6,Sector: Trade services,_Z,Not Applicable,_Z,Not Applicable,2002,1415.0960693359375,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_ASPD_EMPLOYMENT,Employment (thousands),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_ASPD_7,Sector: Transport services,_Z,Not Applicable,_Z,Not Applicable,2002,210.613,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_ASPD_EMPLOYMENT,Employment (thousands),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_ASPD_8,Sector: Finance and business services,_Z,Not Applicable,_Z,Not Applicable,2002,45.92900085449219,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_ASPD_EMPLOYMENT,Employment (thousands),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_ASPD_9,Sector: Other services,_Z,Not Applicable,_Z,Not Applicable,2002,1279.9329833984375,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
