id,country,year,gdp_growth,employment_thousands,sector
1,South Africa,2017,1.157946951817351,16536.302734375,Total
2,South Africa,2017,1.157946951817351,849.6207731755255,Agriculture
3,South Africa,2017,1.157946951817351,414.533397544058,Mining
4,South Africa,2017,1.157946951817351,1855.8184205482744,Manufacturing
5,South Africa,2017,1.157946951817351,187.1115981720818,Utilities
6,South Africa,2017,1.157946951817351,1381.0282350954312,Construction
7,South Africa,2017,1.157946951817351,3307.477348657651,Trade services
8,South Africa,2017,1.157946951817351,1026.5208543081094,Transport services
9,South Africa,2017,1.157946951817351,2495.8658372282,Finance and business services
10,South Africa,2017,1.157946951817351,5018.325501096948,Other services
11,South Africa,2007,5.360474053941616,13808.7041015625,Total
12,South Africa,2007,5.360474053941616,914.352,Agriculture
13,South Africa,2007,5.360474053941616,525.292,Mining
14,South Africa,2007,5.360474053941616,2090.214,Manufacturing
15,South Africa,2007,5.360474053941616,121.761,Utilities
16,South Africa,2007,5.360474053941616,1185.832,Construction
17,South Africa,2007,5.360474053941616,3545.51904296875,Trade services
18,South Africa,2007,5.360474053941616,762.86,Transport services
19,South Africa,2007,5.360474053941616,1680.6729736328125,Finance and business services
20,South Africa,2007,5.360474053941616,2982.200927734375,Other services
21,South Africa,2013,2.485468008265883,15159.4501953125,Total
22,South Africa,2013,2.485468008265883,755.293,Agriculture
23,South Africa,2013,2.485468008265883,415.591,Mining
24,South Africa,2013,2.485468008265883,1852.184,Manufacturing
25,South Africa,2013,2.485468008265883,131.444,Utilities
26,South Africa,2013,2.485468008265883,1166.214,Construction
27,South Africa,2013,2.485468008265883,3201.31982421875,Trade services
28,South Africa,2013,2.485468008265883,931.968,Transport services
29,South Africa,2013,2.485468008265883,2038.821044921875,Finance and business services
30,South Africa,2013,2.485468008265883,4666.61572265625,Other services
31,South Africa,2016,0.6645523078581164,16188.3525390625,Total
32,South Africa,2016,0.6645523078581164,888.2544861436935,Agriculture
33,South Africa,2016,0.6645523078581164,425.228253725863,Mining
34,South Africa,2016,0.6645523078581164,1770.5415501356842,Manufacturing
35,South Africa,2016,0.6645523078581164,150.17526788312014,Utilities
36,South Africa,2016,0.6645523078581164,1409.379358214008,Construction
37,South Africa,2016,0.6645523078581164,3239.1496412848765,Trade services
38,South Africa,2016,0.6645523078581164,956.877108195538,Transport services
39,South Africa,2016,0.6645523078581164,2367.06548118925,Finance and business services
40,South Africa,2016,0.6645523078581164,4981.6810499565,Other services
41,South Africa,2012,2.396232384657452,14709.78515625,Total
42,South Africa,2012,2.396232384657452,711.722,Agriculture
43,South Africa,2012,2.396232384657452,380.098,Mining
44,South Africa,2012,2.396232384657452,1855.292,Manufacturing
45,South Africa,2012,2.396232384657452,103.555,Utilities
46,South Africa,2012,2.396232384657452,1109.862,Construction
47,South Africa,2012,2.396232384657452,3208.6640625,Trade services
48,South Africa,2012,2.396232384657452,876.508,Transport services
49,South Africa,2012,2.396232384657452,1939.0789794921875,Finance and business services
50,South Africa,2012,2.396232384657452,4525.0048828125,Other services
51,South Africa,2004,4.554559907217737,12190.306640625,Total
52,South Africa,2004,4.554559907217737,1104.793,Agriculture
53,South Africa,2004,4.554559907217737,570.859,Mining
54,South Africa,2004,4.554559907217737,1964.137,Manufacturing
55,South Africa,2004,4.554559907217737,121.716,Utilities
56,South Africa,2004,4.554559907217737,862.718,Construction
57,South Africa,2004,4.554559907217737,2924.472900390625,Trade services
58,South Africa,2004,4.554559907217737,682.306,Transport services
59,South Africa,2004,4.554559907217737,1318.0670166015625,Finance and business services
60,South Africa,2004,4.554559907217737,2641.238037109375,Other services
61,South Africa,1999,2.3999999974633823,11584.673828125,Total
62,South Africa,1999,2.3999999974633823,1164.069,Agriculture
63,South Africa,1999,2.3999999974633823,609.504,Mining
